City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,kodiak,57.79,-152.4072,3.73,100,100,3.09,US,1675639674
185,kavieng,-2.5744,150.7967,28.07,74,94,2.51,PG,1675639551
186,perth,-31.9333,115.8333,22.04,82,75,6.69,AU,1675639887
187,acapulco,16.8634,-99.8901,29.9,58,0,3.09,MX,1675639727
188,bagdarin,54.4333,113.6,-25.16,94,76,1.87,RU,1675639887
189,george town,5.4112,100.3354,25.96,98,20,1.03,MY,1675639756
190,longyearbyen,78.2186,15.6401,-2.09,74,75,8.75,SJ,1675639579
191,hasaki,35.7333,140.8333,7.34,77,1,3.64,JP,1675639546
192,sao joaquim,-28.2939,-49.9317,11.62,69,10,0.55,BR,1675639888
193,aktash,50.3,87.7333,-22.94,93,64,2.01,RU,1675639889
194,koulikoro,14.0,-7.75,22.72,16,1,3.89,ML,1675639889
195,lompoc,34.6391,-120.4579,16.68,75,75,9.26,US,1675639765
196,sao bartolomeu de messines,37.2602,-8.2867,13.01,43,1,1.61,PT,1675639889
197,esperance,-33.8667,121.9,21.34,59,71,7.21,AU,1675639764
198,codrington,-38.2667,141.9667,16.49,67,64,2.66,AU,1675639759
199,lai,9.3952,16.2989,25.22,15,100,2.31,TD,1675639890
200,sur,22.5667,59.5289,21.28,70,24,2.57,OM,1675639890
201,padang,-0.9492,100.3543,23.03,79,99,1.95,ID,1675639731
202,kavaratti,10.5669,72.642,26.64,76,20,3.5,IN,1675639682
203,jonkoping,57.7814,14.1562,-1.16,100,100,3.09,SE,1675639891
204,hearst,49.6835,-83.6665,-16.86,100,97,1.3,CA,1675639891
205,bandar-e lengeh,26.5579,54.8807,19.49,55,1,2.41,IR,1675639892
206,pawili,13.5167,123.2833,25.29,84,26,1.11,PH,1675639892
207,mount isa,-20.7333,139.5,25.87,94,100,4.12,AU,1675639893
208,macau,22.2006,113.5461,18.25,88,40,0.51,MO,1675639893
209,ejido,8.5514,-71.2375,19.08,92,92,1.24,VE,1675639893
210,ourossogui,15.6064,-13.3211,23.79,14,82,4.18,SN,1675639894
211,baykit,61.67,96.37,-13.91,98,100,1.21,RU,1675639668
212,clyde river,70.4692,-68.5914,-28.87,69,0,6.17,CA,1675639704
213,namibe,-15.1961,12.1522,21.59,80,53,2.85,AO,1675639895
214,cascais,38.6979,-9.4215,13.85,51,12,4.02,PT,1675639870
215,gigmoto,13.7796,124.39,26.13,86,42,4.82,PH,1675639896
216,chapada dos guimaraes,-15.4606,-55.7497,22.81,76,93,1.21,BR,1675639712
217,le vauclin,14.5452,-60.8388,25.47,83,59,6.69,MQ,1675639896
218,leningradskiy,69.3833,178.4167,-29.88,98,100,1.84,RU,1675639687
219,razole,16.4833,81.8333,17.79,94,28,1.12,IN,1675639897
220,straseni,47.1414,28.6103,-1.99,90,99,6.36,MD,1675639897
221,illela,13.7292,5.2975,26.98,14,100,4.63,NG,1675639897
222,saryg-sep,51.5,95.6,-22.09,99,98,1.1,RU,1675639898
223,kuito,-12.3833,16.9333,13.84,94,97,2.14,AO,1675639898
